id,f_name,l_name,occupation,:LABEL,origin
p210,Goan,di Gorgi; di Gorçi; di Çogi; di M,,Person,
p211,Goan,di Gorgi; di Gorçi; di Çogi; di Marin,,Person,
p212,Goan,di Gorgi; di Gorçi; di Çogi; di Martolo,,Person,
p213,Iachomo,di Gorgi; di Gorçi; di Çogi,,Person,
p214,Luchsa,di Gorgi; di Gorçi; di Çogi,,Person,
p215,Marino,di Gorgi; di Gorçi; di Çogi,,Person,
p216,Marino,di Gorgi; di Gorçi; di Çogi; di Gugno,,Person,
p217,Matio,di Gorgi; di Gorçi; di Çogi,,Person,
p218,Sigismundo,di Gorgi; di Gorçi; di Çogi,,Person,
p219,Simon; Simone,di Gorgi; di Gorçi; di Çogi,,Person,
p220,Gorgi,,,Person,Florence
p221,Gouan; Goan,Montornese,,Person,Catalonia
p222,Gorgi,di Gradi,,Person,
p223,Gugno,di Gradi,,Person,
p224,Grasaç,,,Person,
p225,Gregoie; Grigoie,Miochovich; Mochovich,,Person,
p226,Grubaç; Grubaz,,,Person,
p227,Grupcho,,,Person,
p228,Gugno,,,Person,
p229,Guliiano; Guliano,,,Person,
p230,Guracho,Çeglubinich,,Person,
p231,Gurag,,,Person,
p232,Gurag,Bogulinovich,,Person,
p233,Gurag,,fante,Person,
p234,Hostoia,,,Person,
p235,Hostoia,di Michil,,Person,
p236,Hostoia,Saraginich; Saragnich,,Person,
p237,Hostoia,di Nadal,,Person,
p238,Iachomo,,,Person,
p239,Iachomo,di Bicia,,Person,
p240,Iachomo,di Chotrugl; Chotrugli; Chotruge,,Person,
p241,Iachomo,Priuli,,Person,
p242,Iachomo,,maistro,Person,
p243,Iachomo,,,Person,
p244,Iachsa,,,Person,
p245,Iachsa,di Matio; di Bicia,,Person,
p246,Iachsa,di Piero; di Pircho; di Primo,,Person,
p247,Iachsa,di Ratcho; Picurcho; Picurovich,frar di Marcho,Person,
p248,Iachsa,Petrovich,,Person,
p249,Iachsa,Vidoievich,,Person,
p250,luan; Ivan,Vidoievich,,Person,
p251,luan,,,Person,
p252,luan,Chuçich,,Person,
p253,Luka; Lucha,Chaboga; di Chaboga; Caboga,,Person,
p254,Nikola; Nikša; Nichola,Chaboga; di Chaboga; Caboga,,Person,
p255,Lilo (e) Trinçi,,,Person,
p256,Lorenço,di Mediçi; di Medeçi,,Person,
p257,Lubisa,,,Person,
p258,Lubisa,di Breno,,Person,
p259,Lubisa,di Choçe,,Person,
p260,Lubisa,Striesevich,,Person,
p261,Lubisa,,orese; horese,Person,
p262,Luka; Lucha,,,Person,
p263,Lucha,,,Person,
p264,Lucha,di Angela; di Angola; di Lucha,,Person,
p265,Lucha,di Çecho,,Person,Prato
p266,Lucha,di Gorgi; Radosalich; di Gorgi Radosalich,,Person,
p267,Lucha,di Milan,,Person,
p268,Goan di M.,di Luchari,di Luchari,Person,
p269,Luchsa,,,Person,
p270,Luchsa,di Breno,,Person,
p271,M. Çicer,,,Person,
p272,M. Nicholo,,tentor,Person,
p273,Marcho,,,Person,
p274,Marcho,di Ratcho; di Pic;urcho; Piçurchovich,frar di lachsa,Person,
p275,Marcho,Malonbra,,Person,
p276,Marcho,Maroievich; Maroieuich,,Person,
p277,Marcho,Miochanovich,,Person,
p278,Marcho,Paulovich,,Person,
p279,Marcholin,,,Person,
p280,Marino; Marin; Maroie,di Matcho; Matio; Matchovich; Paulovich,,Person,
p281,Marino; Maroie,di Matio di Polo,,Person,
p282,Marino; Maroie,di Misglen; Misgleno,,Person,
p283,Marino,,,Person,
p284,Marino,di Biasio,,Person,
p285,Marino,di Biçia; Biçio,,Person,
p286,Marino,di Bratcho,,Person,
p287,Marino,di Drago; Dragoie,,Person,Kotor
p288,Marino,di M.,,Person,
p289,Marino,di Marcho,,Person,Tano
p290,Marino,di Nale,,Person,
p291,Marino,di Nichola,,Person,
p292,Mario,,,Person,
p293,Maroie; Marino,Pitiçich; Priçich,,Person,
p294,Maroie,,,Person,
p295,Maroie,Bogosalich,,Person,
p296,Maroie,"di Gurcho,  Gurchovich",,Person,
p297,Maroie,Gugnevich,,Person,
p298,Maroie,Maroievich,,Person,
p299,Maroie,Miladinovich,,Person,
p300,Maroie,Miochanovich,,Person,
p301,Maroie,Pasquiçich; Paschuiçich,,Person,
p302,Maroie,Pripchovich,,Person,
p303,Maroie,Tologich,,Person,
p304,Maroie,Tomanovich; Tomanouich,,Person,
p305,Maroie,,fiol di Bogosau Ponosevich,Person,
p306,Maroie,,horese; orese,Person,
p307,Martin,,,Person,
p308,Martin,di Bon,,Person,
p309,Martin,Nicholiçich; Nicholich,,Person,
p310,Martinus,,,Person,
p311,Martolo,Cholendich,,Person,
p312,Martolo,di Dabisiu,,Person,
p313,Martolo,di Misglen; di Misglano,,Person,
p314,Marusa,,,Person,
p315,Matas,,,Person,
p316,Matcho,,,Person,
p317,Matcho,di Ratcho,,Person,
p318,Matcho,Maroievich,,Person,
p319,Matcho,Miochanovich,,Person,
p320,Matcho,Paschoie,,Person,
